종목명,현재가,전일비,등락률,거래량,거래대금,link
TIMEFOLIO 글로벌소비트렌드액티..,"11,630",40,+0.35%,N/A,"140,524",https://finance.naver.com/item/main.naver?code=494180
RISE 글로벌데이터센터리츠(합성..,"12,455",75,-0.60%,+3.17%,"1,610",https://finance.naver.com/item/main.naver?code=375270
SOL 유럽탄소배출권선물S&P(H),"9,680",230,-2.32%,+0.66%,"1,956",https://finance.naver.com/item/main.naver?code=400580
SOL 미국500타겟커버드콜액티브,"10,845",5,-0.05%,N/A,"93,887",https://finance.naver.com/item/main.naver?code=494210
TIGER 로우볼,"13,070",50,-0.38%,0.00%,172,https://finance.naver.com/item/main.naver?code=174350
SOL 차이나육성산업액티브(합성),"7,700",20,-0.26%,+59.83%,978,https://finance.naver.com/item/main.naver?code=415760
HANARO 글로벌워터MSCI(합성),"14,035",210,-1.47%,+9.49%,4,https://finance.naver.com/item/main.naver?code=424460
TIGER 유로스탁스레버리지(합성 ..,"11,210",0,0.00%,+3.08%,102,https://finance.naver.com/item/main.naver?code=225050
TIGER 금은선물(H),"11,975",170,-1.40%,+3.27%,"3,366",https://finance.naver.com/item/main.naver?code=139320
PLUS ESG성장주액티브,"7,965",5,+0.06%,-3.52%,13,https://finance.naver.com/item/main.naver?code=395760
ACE 글로벌빅파마,"10,415",45,+0.43%,N/A,"77,024",https://finance.naver.com/item/main.naver?code=497510
ACE 일라이릴리밸류체인,"10,395",55,-0.53%,N/A,"74,010",https://finance.naver.com/item/main.naver?code=497520
마이다스 일본테크액티브,"22,140",5,+0.02%,+6.52%,118,https://finance.naver.com/item/main.naver?code=488290
PLUS 코스피50,"23,025",65,+0.28%,-3.41%,65,https://finance.naver.com/item/main.naver?code=122090
에셋플러스 코리아대장장이액티..,"10,310",30,+0.29%,-2.28%,7,https://finance.naver.com/item/main.naver?code=442090
KODEX iShares미국인플레이션국..,"11,135",10,-0.09%,+5.74%,"5,786",https://finance.naver.com/item/main.naver?code=468370
HK S&P코리아로우볼,"13,050",70,-0.53%,-0.72%,1,https://finance.naver.com/item/main.naver?code=215620
TIGER 미국S&P500선물인버스(H),"2,860",0,0.00%,-6.84%,"7,089",https://finance.naver.com/item/main.naver?code=225030
KODEX 아시아AI반도체exChina액..,"16,270",175,+1.09%,+4.13%,218,https://finance.naver.com/item/main.naver?code=446690
TRUSTON 주주가치액티브,"11,275",15,-0.13%,-1.35%,"1,222",https://finance.naver.com/item/main.naver?code=472720
TIGER 차이나항셍25,"18,000",5,+0.03%,+28.08%,41,https://finance.naver.com/item/main.naver?code=117690
TIGER 코리아테크액티브,"8,255",125,+1.54%,-9.92%,102,https://finance.naver.com/item/main.naver?code=471780
HANARO 바이오코리아액티브,"10,105",35,+0.35%,N/A,34,https://finance.naver.com/item/main.naver?code=498050
TIGER MKF배당귀족,"12,425",50,-0.40%,-2.91%,"2,338",https://finance.naver.com/item/main.naver?code=445910
VITA 밸류알파액티브,"11,515",35,+0.30%,-1.20%,"21,766",https://finance.naver.com/item/main.naver?code=452440
KOSEF 미국달러선물인버스,"8,215",30,-0.36%,-7.10%,197,https://finance.naver.com/item/main.naver?code=139660
PLUS K리츠,"6,440",80,-1.23%,-11.06%,"10,016",https://finance.naver.com/item/main.naver?code=429740
FOCUS ESG리더스,"10,715",0,0.00%,-1.65%,0,https://finance.naver.com/item/main.naver?code=285690
SOL KRX300,"16,010",250,+1.59%,-3.99%,1,https://finance.naver.com/item/main.naver?code=292500
파워 고배당저변동성,"33,295",45,-0.13%,+3.27%,126,https://finance.naver.com/item/main.naver?code=192720
TIMEFOLIO K이노베이션액티브,"7,915",15,-0.19%,+2.99%,"1,926",https://finance.naver.com/item/main.naver?code=385710
에셋플러스 글로벌영에이지액티..,"15,830",105,+0.67%,+30.39%,77,https://finance.naver.com/item/main.naver?code=451150
KODEX KTOP30,"15,825",50,-0.31%,-4.85%,214,https://finance.naver.com/item/main.naver?code=229720
ACE 레버리지,"6,055",15,+0.25%,-9.04%,"6,948",https://finance.naver.com/item/main.naver?code=152500
TIGER KRX300,"15,735",160,+1.03%,-3.89%,1,https://finance.naver.com/item/main.naver?code=292160
KOSEF KRX100,"5,240",5,+0.10%,-3.16%,121,https://finance.naver.com/item/main.naver?code=100910
KODEX 혁신기술테마액티브,"13,100",35,+0.27%,-1.28%,4,https://finance.naver.com/item/main.naver?code=364690
RISE 일본섹터TOP4Plus,"10,435",25,-0.24%,+11.04%,156,https://finance.naver.com/item/main.naver?code=488480
TIGER 원유선물인버스(H),"2,790",40,-1.41%,-5.51%,"17,687",https://finance.naver.com/item/main.naver?code=217770
KOSEF 코스닥글로벌,"11,085",35,-0.31%,-2.66%,16,https://finance.naver.com/item/main.naver?code=467540
KODEX 200 중소형,"12,900",20,+0.16%,-0.23%,"2,171",https://finance.naver.com/item/main.naver?code=226980
RISE 주식혼합,"38,660",370,+0.97%,-2.44%,1,https://finance.naver.com/item/main.naver?code=183710
TIMEFOLIO K신재생에너지액티브,"11,035",80,+0.73%,-11.26%,449,https://finance.naver.com/item/main.naver?code=404120
KOSEF 미국원유에너지기업,"11,830",5,+0.04%,+15.26%,"1,717",https://finance.naver.com/item/main.naver?code=474800
RISE 차이나항셍테크,"6,980",50,-0.71%,+39.07%,"2,062",https://finance.naver.com/item/main.naver?code=371150
KOSEF 의료AI,"10,195",220,+2.21%,+6.17%,"29,705",https://finance.naver.com/item/main.naver?code=483020
TIGER 경기방어채권혼합,"9,460",20,+0.21%,-0.26%,662,https://finance.naver.com/item/main.naver?code=237440
RISE 미국장기국채선물레버리지(..,"5,795",95,-1.61%,-14.88%,"7,910",https://finance.naver.com/item/main.naver?code=267490
에셋플러스 글로벌다이나믹시니..,"14,485",60,+0.42%,+18.58%,63,https://finance.naver.com/item/main.naver?code=462340
KODEX 코스닥150롱코스피200숏선..,"9,405",25,+0.27%,-0.85%,909,https://finance.naver.com/item/main.naver?code=360150
RISE 유로스탁스50(H),"13,675",25,+0.18%,+1.90%,374,https://finance.naver.com/item/main.naver?code=379790
마이다스 중소형액티브,"19,980",75,+0.38%,+0.10%,21,https://finance.naver.com/item/main.naver?code=438740
SOL 의료기기소부장Fn,"9,305",80,+0.87%,-5.82%,"24,813",https://finance.naver.com/item/main.naver?code=464610
PLUS 200선물인버스2X,"4,955",0,0.00%,+7.25%,"2,447",https://finance.naver.com/item/main.naver?code=253160
HANARO 글로벌금채굴기업,"13,490",485,-3.47%,+4.29%,"3,255",https://finance.naver.com/item/main.naver?code=473640
ACE 골드선물 레버리지(합성 H),"24,670",655,-2.59%,+5.87%,"6,123",https://finance.naver.com/item/main.naver?code=225130
ACE 일본TOPIX인버스(합성 H),"2,460",10,+0.41%,-7.89%,"2,059",https://finance.naver.com/item/main.naver?code=205720
RISE 국채선물3년,"54,965",175,+0.32%,+1.10%,1,https://finance.naver.com/item/main.naver?code=432600
SOL 200 Top10,"8,170",0,0.00%,-2.97%,589,https://finance.naver.com/item/main.naver?code=411540
HANARO 탄소효율그린뉴딜,"8,130",40,+0.49%,-4.49%,118,https://finance.naver.com/item/main.naver?code=375760
히어로즈 TDF2050액티브,"14,630",35,+0.24%,+11.33%,395,https://finance.naver.com/item/main.naver?code=435550
TIGER 미국나스닥넥스트100,"14,600",30,-0.21%,+20.41%,319,https://finance.naver.com/item/main.naver?code=429010
KOSEF 차이나A50커넥트MSCI,"9,730",0,0.00%,+24.74%,0,https://finance.naver.com/item/main.naver?code=441330
TIGER 한중전기차(합성),"8,570",40,-0.46%,+15.65%,87,https://finance.naver.com/item/main.naver?code=449680
KOSEF K-2차전지북미공급망,"8,080",10,-0.12%,-17.99%,"1,749",https://finance.naver.com/item/main.naver?code=488200
SOL 반도체후공정,"8,550",250,+3.01%,-16.29%,"19,522",https://finance.naver.com/item/main.naver?code=475310
TIGER 우량가치,"11,530",30,-0.26%,-3.79%,98,https://finance.naver.com/item/main.naver?code=227570
KODEX 멀티팩터,"12,030",20,+0.17%,-2.24%,2,https://finance.naver.com/item/main.naver?code=337120
히어로즈 TDF2040액티브,"14,380",40,-0.28%,+10.75%,"2,724",https://finance.naver.com/item/main.naver?code=435540
HANARO 코리아밸류업,"9,530",5,-0.05%,N/A,10,https://finance.naver.com/item/main.naver?code=495750
PLUS TDF2060액티브,"15,065",10,-0.07%,+13.18%,"3,642",https://finance.naver.com/item/main.naver?code=433880
KOSEF Fn유전자혁신기술,"9,435",40,+0.43%,-2.44%,60,https://finance.naver.com/item/main.naver?code=460280
KODEX K-이노베이션액티브,"11,730",15,+0.13%,-3.50%,31,https://finance.naver.com/item/main.naver?code=373490
KODEX 미국30년국채울트라선물인..,"11,650",100,+0.87%,+10.74%,"2,209",https://finance.naver.com/item/main.naver?code=304670
PLUS 국채선물10년,"56,365",115,-0.20%,+1.67%,196,https://finance.naver.com/item/main.naver?code=289670
RISE 헬스케어,"13,800",110,+0.80%,-7.41%,144,https://finance.naver.com/item/main.naver?code=253280
RISE 글로벌클린에너지,"6,265",25,-0.40%,-9.50%,181,https://finance.naver.com/item/main.naver?code=399580
PLUS 200선물레버리지,"27,480",60,-0.22%,-9.14%,198,https://finance.naver.com/item/main.naver?code=253150
ACE 중국과창판STAR50,"7,625",100,-1.29%,+61.27%,"2,902",https://finance.naver.com/item/main.naver?code=416090
KOSEF 200선물인버스2X,"2,430",10,-0.41%,+7.49%,"25,472",https://finance.naver.com/item/main.naver?code=253230
PLUS S&P글로벌인프라,"17,000",105,-0.61%,+9.58%,390,https://finance.naver.com/item/main.naver?code=269530
RISE 글로벌비만산업TOP2+,"10,420",25,+0.24%,-5.46%,"1,354",https://finance.naver.com/item/main.naver?code=476310
PLUS 국채선물3년,"56,435",15,+0.03%,+1.18%,61,https://finance.naver.com/item/main.naver?code=298340
KOSEF 200선물레버리지,"13,480",30,-0.22%,-9.21%,"4,722",https://finance.naver.com/item/main.naver?code=253250
히어로즈 TDF2030액티브,"13,450",0,0.00%,+9.13%,8,https://finance.naver.com/item/main.naver?code=435530
WON 200,"33,610",30,+0.09%,-3.83%,81,https://finance.naver.com/item/main.naver?code=448100
TREX 200,"33,575",20,+0.06%,-3.57%,14,https://finance.naver.com/item/main.naver?code=108590
WON AI ESG액티브,"8,950",0,0.00%,-2.45%,141,https://finance.naver.com/item/main.naver?code=413930
KOSEF 독일DAX,"13,395",5,-0.04%,+11.16%,299,https://finance.naver.com/item/main.naver?code=411860
KoAct AI인프라액티브,"7,845",220,+2.89%,-0.13%,374,https://finance.naver.com/item/main.naver?code=487130
RISE V&S셀렉트밸류,"13,320",0,0.00%,-3.90%,2,https://finance.naver.com/item/main.naver?code=234310
RISE KQ고배당,"11,065",40,+0.36%,+5.05%,110,https://finance.naver.com/item/main.naver?code=270800
RISE TDF2040액티브,"13,200",20,+0.15%,+9.60%,"1,439",https://finance.naver.com/item/main.naver?code=442560
UNICORN SK하이닉스밸류체인액티..,"8,740",125,+1.45%,N/A,"10,118",https://finance.naver.com/item/main.naver?code=494220
PLUS 고배당저변동50,"13,025",15,-0.12%,+2.86%,"4,697",https://finance.naver.com/item/main.naver?code=251590
KOSEF K-반도체북미공급망,"7,650",215,+2.89%,-2.36%,"15,657",https://finance.naver.com/item/main.naver?code=488210
KOSEF 코스피100,"24,970",30,+0.12%,-3.35%,518,https://finance.naver.com/item/main.naver?code=153270
RISE 국채선물10년,"55,695",110,+0.20%,+1.70%,2,https://finance.naver.com/item/main.naver?code=295000
ACE 코스피,"25,785",40,-0.15%,-2.80%,594,https://finance.naver.com/item/main.naver?code=305050
PLUS 코스피,"25,750",65,-0.25%,-2.70%,6,https://finance.naver.com/item/main.naver?code=227830
HANARO 전력설비투자,"11,680",480,+4.29%,N/A,"8,199",https://finance.naver.com/item/main.naver?code=491820
KODEX 콩선물(H),"10,685",50,-0.47%,-3.16%,430,https://finance.naver.com/item/main.naver?code=138920
ACE 중국본토CSI300레버리지(합..,"3,205",60,-1.84%,+64.32%,"3,442",https://finance.naver.com/item/main.naver?code=219900
RISE TDF2030액티브,"12,785",15,+0.12%,+7.54%,"1,536",https://finance.naver.com/item/main.naver?code=442550
SOL 유럽탄소배출권선물인버스IC..,"12,785",260,+2.08%,-1.84%,195,https://finance.naver.com/item/main.naver?code=459370
RISE KRX300,"15,960",15,-0.09%,-3.68%,"1,084",https://finance.naver.com/item/main.naver?code=292050
KODEX 국채선물10년인버스,"53,110",105,+0.20%,-0.39%,1,https://finance.naver.com/item/main.naver?code=176950
RISE 미국빅데이터Top3채권혼합,"15,930",145,+0.92%,+19.54%,"1,762",https://finance.naver.com/item/main.naver?code=449580
KODEX MSCI EM선물(H),"8,430",55,+0.66%,+1.09%,727,https://finance.naver.com/item/main.naver?code=291890
ACE 싱가포르리츠,"12,635",10,-0.08%,-6.06%,607,https://finance.naver.com/item/main.naver?code=316300
RISE 글로벌농업경제,"9,025",25,+0.28%,+5.39%,400,https://finance.naver.com/item/main.naver?code=437370
ACE 차이나항셍테크,"6,960",15,-0.22%,+39.64%,"3,207",https://finance.naver.com/item/main.naver?code=371870
KODEX 최소변동성,"10,425",85,+0.82%,-3.77%,1,https://finance.naver.com/item/main.naver?code=279540
PLUS 글로벌AI인프라,"12,500",200,-1.57%,+21.18%,296,https://finance.naver.com/item/main.naver?code=489010
HANARO KAP초장기국고채,"42,170",5,+0.01%,+4.40%,10,https://finance.naver.com/item/main.naver?code=346000
BNK 미래전략기술액티브,"10,305",65,+0.63%,0.00%,3,https://finance.naver.com/item/main.naver?code=457930
HANARO 고배당,"13,625",15,+0.11%,+2.16%,719,https://finance.naver.com/item/main.naver?code=322410
SOL 한국형글로벌전기차&2차전지..,"12,240",65,+0.53%,+18.78%,142,https://finance.naver.com/item/main.naver?code=429980
KODEX 한중전기차(합성),"8,715",120,-1.36%,+15.41%,32,https://finance.naver.com/item/main.naver?code=450180
TIGER 200커버드콜OTM,"12,165",5,-0.04%,-1.70%,397,https://finance.naver.com/item/main.naver?code=166400
PLUS 글로벌MSCI(합성 H),"20,235",220,+1.10%,+4.22%,247,https://finance.naver.com/item/main.naver?code=189400
ACE 미국하이일드액티브(H),"10,110",25,-0.25%,+1.90%,"4,154",https://finance.naver.com/item/main.naver?code=455660
HANARO 글로벌탄소배출권선물ICE..,"9,320",105,-1.11%,-1.62%,59,https://finance.naver.com/item/main.naver?code=401590
KODEX 차이나메타버스액티브,"11,920",20,+0.17%,+24.80%,470,https://finance.naver.com/item/main.naver?code=428510
TIGER MSCI KOREA ESG유니버설,"9,890",10,+0.10%,-3.10%,"1,000",https://finance.naver.com/item/main.naver?code=289250
RISE 미국달러선물인버스,"9,125",20,-0.22%,-7.06%,534,https://finance.naver.com/item/main.naver?code=469530
TIGER KTOP30,"7,905",55,-0.69%,-4.27%,"1,996",https://finance.naver.com/item/main.naver?code=228820
SOL 미국테크TOP10인버스(합성),"7,410",30,-0.40%,-20.81%,153,https://finance.naver.com/item/main.naver?code=481200
KODEX 모멘텀Plus,"11,800",130,+1.11%,-5.12%,512,https://finance.naver.com/item/main.naver?code=244620
HANARO 미국메타버스iSelect,"16,770",25,-0.15%,+22.73%,54,https://finance.naver.com/item/main.naver?code=419170
PLUS 글로벌HBM반도체,"16,770",290,+1.76%,+3.68%,721,https://finance.naver.com/item/main.naver?code=442580
PLUS ESG가치주액티브,"7,800",25,-0.32%,-4.16%,98,https://finance.naver.com/item/main.naver?code=395750
RISE 우량업종대표주,"11,485",25,+0.22%,-1.63%,57,https://finance.naver.com/item/main.naver?code=140580
PLUS 주도업종,"10,370",30,-0.29%,-3.53%,7,https://finance.naver.com/item/main.naver?code=280920
PLUS 미국달러SOFR금리액티브(합..,"58,125",15,+0.03%,+8.87%,1,https://finance.naver.com/item/main.naver?code=456200
RISE 국채선물5년추종인버스,"55,720",315,+0.57%,+0.05%,2,https://finance.naver.com/item/main.naver?code=397410
RISE 200금융,"11,365",70,-0.61%,+1.83%,"2,245",https://finance.naver.com/item/main.naver?code=284980
PLUS 신흥국MSCI인버스(합성 H),"10,840",0,0.00%,-1.36%,0,https://finance.naver.com/item/main.naver?code=373530
ACE 필리핀MSCI(합성),"14,015",5,-0.04%,-2.94%,8,https://finance.naver.com/item/main.naver?code=261920
SOL KRX기후변화솔루션,"9,290",145,+1.59%,-14.92%,2,https://finance.naver.com/item/main.naver?code=404650
RISE 중소형고배당,"11,100",20,+0.18%,+3.31%,95,https://finance.naver.com/item/main.naver?code=281990
TIGER 라틴35,"4,245",65,-1.51%,+2.59%,"1,253",https://finance.naver.com/item/main.naver?code=105010
RISE 미국장기국채선물인버스(H),"10,935",50,+0.46%,+9.56%,102,https://finance.naver.com/item/main.naver?code=267450
히어로즈 글로벌리츠이지스액티..,"10,920",0,0.00%,+1.05%,25,https://finance.naver.com/item/main.naver?code=437550
TIGER 우선주,"10,885",35,-0.32%,-7.88%,"2,370",https://finance.naver.com/item/main.naver?code=261140
TIGER 200커뮤니케이션서비스,"19,315",110,+0.57%,+13.79%,158,https://finance.naver.com/item/main.naver?code=315270
RISE 200선물인버스,"5,955",10,-0.17%,+4.47%,"47,958",https://finance.naver.com/item/main.naver?code=252410
TIGER 코스닥글로벌,"10,685",50,-0.47%,-2.36%,33,https://finance.naver.com/item/main.naver?code=461580
TIGER 의료기기,"15,210",415,+2.81%,+2.49%,"5,626",https://finance.naver.com/item/main.naver?code=307510
TIGER 200 생활소비재,"8,535",55,+0.65%,-2.57%,63,https://finance.naver.com/item/main.naver?code=227560
RISE 국채선물5년추종,"51,670",50,+0.10%,+1.28%,3,https://finance.naver.com/item/main.naver?code=397420
ACE Fn5G플러스,"8,695",35,+0.40%,-1.98%,"2,242",https://finance.naver.com/item/main.naver?code=380340
ACE Fn성장소비주도주,"5,720",40,-0.69%,+4.63%,52,https://finance.naver.com/item/main.naver?code=226380
ACE 삼성그룹동일가중,"17,040",5,-0.03%,-6.76%,20,https://finance.naver.com/item/main.naver?code=131890
TIMEFOLIO 글로벌안티에이징바이..,"9,200",55,+0.60%,-8.09%,"168,443",https://finance.naver.com/item/main.naver?code=485810
KOSEF 글로벌전력반도체,"8,405",5,-0.06%,+13.91%,"1,612",https://finance.naver.com/item/main.naver?code=473500
PLUS 태양광&ESS,"9,145",145,+1.61%,-5.51%,"1,510",https://finance.naver.com/item/main.naver?code=457990
RISE 차이나H선물인버스(H),"10,055",5,-0.05%,-18.84%,47,https://finance.naver.com/item/main.naver?code=291680
KOSEF SK그룹대표주,"12,495",150,+1.22%,+2.39%,114,https://finance.naver.com/item/main.naver?code=450120
TIGER 코스피대형주,"12,445",15,+0.12%,-3.19%,"4,277",https://finance.naver.com/item/main.naver?code=277640
HANARO Fn K-메타버스MZ,"7,010",35,-0.50%,+0.93%,47,https://finance.naver.com/item/main.naver?code=402460
KOSEF 미국방어배당성장나스닥,"15,310",30,+0.20%,+4.14%,391,https://finance.naver.com/item/main.naver?code=373790
PLUS 심천차이넥스트(합성),"9,780",175,-1.76%,+53.39%,150,https://finance.naver.com/item/main.naver?code=256450
KODEX 멀티에셋하이인컴(H),"9,710",40,-0.41%,-2.50%,3,https://finance.naver.com/item/main.naver?code=321410
KOSEF 차이나내수소비TOP CSI,"8,725",75,-0.85%,+31.89%,"2,713",https://finance.naver.com/item/main.naver?code=454180
PLUS 코스닥150,"11,730",5,+0.04%,-5.41%,"1,198",https://finance.naver.com/item/main.naver?code=301400
PLUS 미국대체투자Top10,"23,400",80,-0.34%,+37.83%,324,https://finance.naver.com/item/main.naver?code=426410
TIGER KRX기후변화솔루션,"9,270",40,+0.43%,-14.85%,"10,528",https://finance.naver.com/item/main.naver?code=404540
KOSEF 코스닥150선물인버스,"7,245",0,0.00%,+4.02%,"1,749",https://finance.naver.com/item/main.naver?code=291620
SOL 차이나태양광CSI(합성),"4,475",25,-0.56%,+30.62%,54,https://finance.naver.com/item/main.naver?code=413220
BNK 2차전지양극재,"5,590",25,-0.45%,-15.18%,"3,658",https://finance.naver.com/item/main.naver?code=466810
HANARO 단기채권액티브,"108,700",0,0.00%,+0.76%,0,https://finance.naver.com/item/main.naver?code=390950
TIGER 지주회사,"9,815",55,+0.56%,-3.84%,"1,950",https://finance.naver.com/item/main.naver?code=307520
KCGI 테크미디어텔레콤액티브,"8,000",50,+0.63%,-2.33%,88,https://finance.naver.com/item/main.naver?code=407160
PLUS 스마트베타Quality채권혼합,"10,905",5,-0.05%,+0.51%,26,https://finance.naver.com/item/main.naver?code=238670
KODEX 200동일가중,"10,760",60,+0.56%,-2.28%,"1,016",https://finance.naver.com/item/main.naver?code=252650
HANARO 200선물인버스,"10,755",10,+0.09%,+4.32%,"20,123",https://finance.naver.com/item/main.naver?code=306520
TIGER 200 경기소비재,"15,345",135,-0.87%,-1.65%,14,https://finance.naver.com/item/main.naver?code=139290
HANARO 200선물레버리지1.5X,"11,230",75,+0.67%,-6.34%,3,https://finance.naver.com/item/main.naver?code=486780
HANARO Fn5G산업,"12,090",0,0.00%,-6.05%,0,https://finance.naver.com/item/main.naver?code=367740
TIGER 증권,"5,715",10,-0.17%,+1.78%,"8,737",https://finance.naver.com/item/main.naver?code=157500
HANARO Fn친환경에너지,"6,480",55,+0.86%,-15.35%,495,https://finance.naver.com/item/main.naver?code=381570
HANARO K-메디테크,"9,285",165,+1.81%,+7.74%,94,https://finance.naver.com/item/main.naver?code=473380
KCGI 스마트커머스액티브,"8,345",20,+0.24%,+1.83%,4,https://finance.naver.com/item/main.naver?code=407170
RISE 팔라듐선물(H),"4,900",95,-1.90%,-7.24%,"8,159",https://finance.naver.com/item/main.naver?code=334690
KODEX 퀄리티Plus,"8,290",0,0.00%,-1.25%,0,https://finance.naver.com/item/main.naver?code=244660
HANARO 농업융복합산업,"9,190",40,+0.44%,-5.91%,122,https://finance.naver.com/item/main.naver?code=314700
TIGER 200 철강소재,"9,145",75,-0.81%,+17.87%,"97,889",https://finance.naver.com/item/main.naver?code=139240
HANARO 글로벌신재생에너지MSCI(..,"7,315",15,-0.20%,+2.30%,10,https://finance.naver.com/item/main.naver?code=448510
KODEX 경기소비재,"7,965",85,-1.06%,-5.29%,906,https://finance.naver.com/item/main.naver?code=266390
KODEX 밸류Plus,"7,930",50,-0.63%,-0.62%,414,https://finance.naver.com/item/main.naver?code=244670
TIGER 200동일가중,"11,220",60,+0.54%,-2.83%,"5,354",https://finance.naver.com/item/main.naver?code=252000
PLUS 글로벌AI,"15,690",140,+0.90%,+37.49%,"2,135",https://finance.naver.com/item/main.naver?code=438210
HANARO 코스닥150선물레버리지1...,"10,795",115,+1.08%,-9.34%,230,https://finance.naver.com/item/main.naver?code=486790
UNICORN R&D 액티브,"10,900",0,0.00%,-4.22%,356,https://finance.naver.com/item/main.naver?code=433250
히어로즈 리츠이지스액티브,"6,865",90,-1.29%,-10.47%,223,https://finance.naver.com/item/main.naver?code=429870
SOL 차이나강소기업CSI500(합성 ..,"4,710",80,-1.67%,+33.43%,"8,405",https://finance.naver.com/item/main.naver?code=220130
BNK 온디바이스AI,"6,840",95,+1.41%,-7.67%,157,https://finance.naver.com/item/main.naver?code=487750
KOSEF 200선물인버스,"6,010",15,+0.25%,+3.90%,25,https://finance.naver.com/item/main.naver?code=253240
TIGER 모멘텀,"29,880",135,+0.45%,+2.37%,6,https://finance.naver.com/item/main.naver?code=147970
TIGER 코스피중형주,"13,950",65,+0.47%,-3.31%,11,https://finance.naver.com/item/main.naver?code=277650
ACE 베트남VN30선물블룸버그레버..,"11,350",50,-0.44%,-1.17%,272,https://finance.naver.com/item/main.naver?code=371130
TIGER 금속선물(H),"5,650",30,-0.53%,+0.62%,294,https://finance.naver.com/item/main.naver?code=139310
RISE 글로벌메타버스,"16,945",100,+0.59%,+23.86%,48,https://finance.naver.com/item/main.naver?code=411720
RISE 수출주,"11,235",5,+0.04%,-1.58%,"1,027",https://finance.naver.com/item/main.naver?code=140570
UNICORN 포스트IPO액티브,"6,035",5,-0.08%,-16.57%,6,https://finance.naver.com/item/main.naver?code=476000
KOSEF K-테크TOP10,"10,630",45,+0.43%,+1.78%,869,https://finance.naver.com/item/main.naver?code=469790
KOSEF 미국ETF산업STOXX,"15,465",30,-0.19%,+19.38%,17,https://finance.naver.com/item/main.naver?code=426330
HANARO KRX300,"15,380",75,+0.49%,-3.75%,14,https://finance.naver.com/item/main.naver?code=304760
KODEX 골드선물인버스(H),"5,550",70,+1.28%,-3.78%,"1,777",https://finance.naver.com/item/main.naver?code=280940
RISE 플랫폼테마,"7,160",110,+1.56%,+28.77%,"2,301",https://finance.naver.com/item/main.naver?code=427120
PLUS 중형주저변동50,"11,915",50,-0.42%,-4.05%,6,https://finance.naver.com/item/main.naver?code=266550
RISE 팔라듐선물인버스(H),"5,940",70,+1.19%,+3.25%,9,https://finance.naver.com/item/main.naver?code=334700
HK 베스트일레븐액티브,"8,455",0,0.00%,-7.39%,0,https://finance.naver.com/item/main.naver?code=391670
ACE 인버스,"5,760",15,-0.26%,+4.43%,"3,627",https://finance.naver.com/item/main.naver?code=145670
PLUS TDF2040액티브,"12,995",25,-0.19%,+7.07%,2,https://finance.naver.com/item/main.naver?code=433860
TIGER 방송통신,"7,120",140,+2.01%,+3.32%,"8,376",https://finance.naver.com/item/main.naver?code=098560
KOSEF 코스닥150선물레버리지,"3,505",15,+0.43%,-12.86%,"26,102",https://finance.naver.com/item/main.naver?code=291630
TIGER 200에너지화학레버리지,"3,530",60,+1.73%,-27.02%,"4,253",https://finance.naver.com/item/main.naver?code=243890
PLUS TDF2050액티브,"14,245",25,-0.18%,+12.01%,498,https://finance.naver.com/item/main.naver?code=433870
PLUS TDF2030액티브,"12,560",5,+0.04%,+6.76%,86,https://finance.naver.com/item/main.naver?code=433850
ACE 미국빅테크TOP7 Plus인버스(..,"9,985",70,-0.70%,-21.69%,412,https://finance.naver.com/item/main.naver?code=465620
HANARO 반도체핵심공정주도주,"5,545",5,-0.09%,-18.08%,"2,101",https://finance.naver.com/item/main.naver?code=476260
RISE 코스닥150선물인버스,"4,095",10,-0.24%,+4.06%,"20,470",https://finance.naver.com/item/main.naver?code=275750
PLUS 글로벌희토류&전략자원생산..,"4,270",100,-2.29%,+18.75%,"1,862",https://finance.naver.com/item/main.naver?code=415920
RISE KP달러채권액티브,"57,360",0,0.00%,+7.72%,0,https://finance.naver.com/item/main.naver?code=469580
TIGER 코스닥150IT,"11,365",125,+1.11%,-4.83%,94,https://finance.naver.com/item/main.naver?code=261060
PLUS 코스닥150선물인버스,"6,175",20,-0.32%,+3.68%,"2,498",https://finance.naver.com/item/main.naver?code=301410
KoAct 테크핵심소재공급망액티브,"6,055",70,+1.17%,-14.80%,671,https://finance.naver.com/item/main.naver?code=482030
UNICORN 생성형AI강소기업액티브,"7,415",125,+1.71%,+0.14%,638,https://finance.naver.com/item/main.naver?code=470310
ACE 밸류대형,"9,225",15,-0.16%,-4.55%,15,https://finance.naver.com/item/main.naver?code=143460
HANARO 미국애그테크,"11,790",10,+0.08%,+15.57%,"1,296",https://finance.naver.com/item/main.naver?code=472490
TIGER BBIG레버리지,"2,150",30,+1.42%,0.00%,"2,928",https://finance.naver.com/item/main.naver?code=412560
HANARO 코스닥150선물레버리지,"7,070",40,+0.57%,-13.26%,"5,902",https://finance.naver.com/item/main.naver?code=306530
HANARO 글로벌백신치료제MSCI,"11,210",35,-0.31%,-6.45%,47,https://finance.naver.com/item/main.naver?code=432850
HANARO 200 TOP10,"8,035",60,+0.75%,-3.39%,"1,248",https://finance.naver.com/item/main.naver?code=407310
TIGER 200 산업재,"6,650",20,+0.30%,-1.85%,72,https://finance.naver.com/item/main.naver?code=227550
HANARO Fn골프테마,"5,270",60,-1.13%,-7.14%,29,https://finance.naver.com/item/main.naver?code=407300
SOL 한국형글로벌플랫폼&메타버..,"16,835",90,-0.53%,+30.14%,32,https://finance.naver.com/item/main.naver?code=429990
